Device,Max Clients,Unique Clients,Building
Kuykendall 210,0,18,Kuykendall
Kuykendall 307 Ewa,0,0,Kuykendall
Holmes 286,0,0,Holmes Hall
Holmes 389,0,0,Holmes Hall
Kuykendall 623 Hallway,0,1,Kuykendall
Kuykendall 209 Ewa,0,0,Kuykendall
Holmes 455,0,1,Holmes Hall
Holmes 183 Hallway,1,14,Holmes Hall
Kuykendall 302,0,0,Kuykendall
Holmes 351 Hallway,2,3,Holmes Hall
Kuykendall 713 Hallway,0,0,Kuykendall
Kuykendall 306 Ewa,3,17,Kuykendall
Holmes 180 Mauka,0,0,Holmes Hall
Kuykendall 308,0,0,Kuykendall
Holmes 142A,0,2,Holmes Hall
Holmes 345 Hallway,2,5,Holmes Hall
Kuykendall 218 Hallway,1,4,Kuykendall
Holmes 449 Hallway,2,3,Holmes Hall
Holmes 309,0,2,Holmes Hall
Holmes 180 Makai,0,1,Holmes Hall
Wainani I 1454A Tmp,9,9,Wainani
Hamilton P2 015 DH,1,1,Hamilton Library
Hamilton P2 015-Acquisitions Dept,1,4,Hamilton Library
Wainani F 1102LR Tmp,6,16,Wainani
Frear D 907C Tmp,2,2,Frear
Wainani H 362B Temp,0,0,Wainani
Frear D 507C Temp,7,9,Frear
Frear D 207C Temp,7,12,Frear
Frear D 707C Temp,5,6,Frear
Noelani E Store,8,26,Noelani
Lokelani 1058 Temp,8,9,Lokelani
Lehua 1012 Temp,4,7,Lehua
HA Cafe Display Test,3,3,Hale Aloha Cafe
Hale Aloha-Cafeteria Storage,2,3,Hale Aloha Cafe
Frear D 1007C Temp,4,4,Frear
Lehua 408 Temp,4,9,Lehua
Frear D 1201C,0,0,Frear
Frear D 601C,5,6,Frear
Frear D 807C Temp,3,11,Frear
Frear D 801C,3,4,Frear
Frear Closet install 1 TEMP (NO SIMP),0,0,Frear
Sinclair ACM 193,0,0,Sinclair Library
Laulima 311T,5,7,Hale Laulima
Frear D 607C Temp,5,9,Mokihana
Sinclair ACM 191A,2,3,Sinclair Library
