Device,Max Clients,Unique Clients,Building
Hamilton P2 113,2,14,Hamilton Library
Hamilton P2 422/423 Hallway,0,3,Hamilton Library
Hamilton P1 301-Conference Rm,0,1,Hamilton Library
Hamilton P1 101 Ewa,1,11,Hamilton Library
Hamilton P2 014 DH,3,3,Hamilton Library
Hamilton P2 320,0,0,Hamilton Library
Hamilton P2 511,0,0,Hamilton Library
Hamilton P3 BET,0,4,Hamilton Library
Hamilton P1 002-Administration,0,3,Hamilton Library
Hamilton P1 200,0,1,Hamilton Library
Hamilton P3 552 Ewa,2,3,Hamilton Library
Hamilton P2 400,1,1,Hamilton Library
Hamilton P3 156,0,2,Hamilton Library
Hamilton P1 003 Mauka,0,1,Hamilton Library
Hamilton P2 016,3,6,Hamilton Library
Hamilton P1 003F,1,1,Hamilton Library
Hamilton 4th Fl Asia 12,0,0,Hamilton Library
Hamilton P2 306 Ewa,1,1,Hamilton Library
Hamilton P2 006B,2,6,Hamilton Library
Hamilton P1 002k (old),0,0,Hamilton Library
Hamilton P3 052,2,5,Hamilton Library
Hamilton 4th Fl Asia 27,0,0,Hamilton Library
Hamilton P1 006A Ewa,0,0,Hamilton Library
Hamilton P2 405-Asia-Collections-Staff,0,1,Hamilton Library
Hamilton P1 201 Hallway,1,3,Hamilton Library
Hamilton P1 102,2,5,Hamilton Library
Hamilton 4th Fl Asia 32,0,0,Hamilton Library
Hamilton PI 006C,1,1,Hamilton Library
Hamilton P2 108,6,23,Hamilton Library
Hamilton P2 1stFl Elevator,9,63,Hamilton Library
Hamilton P1 006D Ewa,1,1,Hamilton Library
Hamilton P1 006A,0,0,Hamilton Library
Hamilton P1 006D DH,0,0,Hamilton Library
Hamilton P1 211 Hallway,1,4,Hamilton Library
Hamilton P2 029,2,10,Hamilton Library
Hamilton P1 208,1,1,Hamilton Library
Hamilton P1 006 DH,0,1,Hamilton Library
Hamilton P1 202,0,0,Hamilton Library
Hamilton P1 101 DH,4,62,Hamilton Library
Hamilton P1 100-Study Area,22,86,Hamilton Library
Hamilton 4th Fl Asia 22,0,0,Hamilton Library
Hamilton P2 508,0,0,Hamilton Library
Hamilton P2 014 Ewa,2,5,Hamilton Library
Hamilton 4th Fl Asia 20,0,0,Hamilton Library
Hamilton P1 002K,0,0,Hamilton Library
Hamilton P2 112,1,6,Hamilton Library
Hamilton P2 3rdFl-Freight Elevator,0,2,Hamilton Library
Hamilton P2 026,1,9,Hamilton Library
Hamilton P2 306 DH,1,1,Hamilton Library
Hamilton 4th Fl Asia 16,0,0,Hamilton Library
Hamilton P2 159 Mauka,23,55,Hamilton Library
Hamilton 4th Fl Asia 34,0,0,Hamilton Library
Hamilton P1 101 Hallway,5,81,Hamilton Library
Hamilton P2 217 Hallway,1,1,Hamilton Library
Hamilton P2 008 DH,0,2,Hamilton Library
Hamilton P1 159 Makai,19,45,Hamilton Library
Hamilton P1 003 Makai,1,3,Hamilton Library
Hamilton P1 006A GovDocs,2,2,Hamilton Library
Hamilton P2 008 Ewa,3,10,Hamilton Library
Hamilton P2 123,1,5,Hamilton Library
Hamilton P1 006 Ewa,2,2,Hamilton Library
Spalding 258A,0,1,Spalding Hall
Spalding 258,1,4,Spalding Hall
Edmondson 114,3,6,Edmondson Hall
Edmondson 112,3,5,Edmondson Hall
Edmondson 111,4,5,Edmondson Hall
Edmondson 3rd Fl Lanai,1,12,Edmondson Hall
Edmondson 1st Fl Lanai,3,76,Edmondson Hall
Edmondson 2nd Fl Lanai,7,48,Edmondson Hall
Edmondson 104,1,2,Edmondson Hall
Edmondson 101,1,6,Edmondson Hall
Edmondson 110,1,2,Edmondson Hall
Edmondson 103,3,8,Edmondson Hall
Edmondson 408,0,0,Edmondson Hall
Edmondson 212,1,2,Edmondson Hall
Edmondson 301 Mauka,3,5,Edmondson Hall
Edmondson 301 Makai,0,2,Edmondson Hall
Edmondson 401 Center,2,2,Edmondson Hall
Webster 203 Makai,0,0,Webster Hall
Webster 115,2,3,Webster Hall
Edmondson 301 Center,2,2,Edmondson Hall
Edmondson 401 Mauka,2,3,Edmondson Hall
Webster 101 Mauka,6,8,Webster Hall
Webster 446 Hallway,4,5,Webster Hall
Webster 114,0,0,Webster Hall
Webster 116,0,8,Webster Hall
Edmondson 411,4,4,Edmondson Hall
Webster 203 Ewa,0,1,Webster Hall
Webster 103 Hallway,1,2,Webster Hall
Edmondson 418,0,1,Edmondson Hall
Edmondson 203,3,6,Edmondson Hall
Webster 102,0,0,Webster Hall
Webster 112,4,8,Webster Hall
Edmondson 313,6,8,Edmondson Hall
Edmondson 401 Makai,1,2,Edmondson Hall
Edmondson 216,1,1,Edmondson Hall
Edmondson 201,0,2,Edmondson Hall
Webster 407 Hallway,2,2,Webster Hall
Edmondson 414,0,1,Edmondson Hall
Webster 327 Hallway,5,9,Webster Hall
Webster 303 Hallway,1,5,Webster Hall
Edmondson 215,1,6,Edmondson Hall
Webster 101 Makai,1,1,Webster Hall
Webster 103,1,2,Webster Hall
Webster Hallway 319E,0,1,Webster Hall
Webster 412 Hallway,0,1,Webster Hall
Webster 314 Hallway,4,5,Webster Hall
Webster 205,0,3,Webster Hall
Edmondson 213A,1,2,Edmondson Hall
Webster 214 Hallway,0,2,Webster Hall
Webster 438 Hallway,0,3,Webster Hall
Webster 432 Hallway,1,5,Webster Hall
Webster 218 Hallway,0,0,Webster Hall
Edmondson 309,2,3,Edmondson Hall
Edmondson 205,4,7,Edmondson Hall
Webster 203 Mauka,0,1,Webster Hall
Webster Hallway 317,5,5,Webster Hall
Webster 442 Hallway,0,2,Webster Hall
Webster 337 Hallway,1,4,Webster Hall
Webster 323 Hallway,0,1,Webster Hall
Edmondson 318,5,7,Edmondson Hall
Edmondson 308,2,3,Edmondson Hall
Webster 301,2,12,Webster Hall
Webster 402,2,5,Webster Hall
Webster 104,0,1,Webster Hall
Webster 201A,1,4,Webster Hall
Webster 204AA,1,2,Webster Hall
Edmondson 4th Fl Lanai,3,14,Edmondson Hall
Webster 113,1,6,Webster Hall
Webster 334,4,4,Webster Hall
Snyder 401C Hallway,0,0,Snyder Hall
Webster 403 Hallway,1,1,Webster Hall
Webster 200A,1,8,Webster Hall
Snyder 410 Hallway,2,3,Snyder Hall
Webster 332 Hallway,1,3,Webster Hall
Webster 201,0,4,Webster Hall
Webster 222 Hallway,1,3,Webster Hall
Snyder 411 Hallway,1,1,Snyder Hall
Spalding 353B,0,2,Spalding Hall
Spalding 354D,0,2,Spalding Hall
Paradise Palms DH Makai Dining,1,2,Paradise Palms
Paradise Palms Dunkin,1,9,Paradise Palms
Spalding 352,1,1,Spalding Hall
Spalding 255,3,10,Spalding Hall
Paradise Palms Center Dining,1,7,Paradise Palms
Spalding 454,0,5,Spalding Hall
Spalding 362,0,1,Spalding Hall
Spalding 358,0,2,Spalding Hall
Spalding 155 Mauka Ewa,1,1,Spalding Hall
Paradise Palms Ewa Makai Dining,0,6,Paradise Palms
Paradise Palms DH Mauka Dining,0,3,Paradise Palms
Spalding 155 Makai Ewa,1,3,Spalding Hall
Spalding 354,0,3,Spalding Hall
Spalding 155 Makai DH,0,0,Spalding Hall
Spalding 360,0,0,Spalding Hall
Spalding 453A,1,2,Spalding Hall
Spalding 257,1,3,Spalding Hall
Spalding 155 Mauka DH,0,0,Spalding Hall
Paradise Palms Ewa Mauka Dining,1,25,Paradise Palms
Snyder 401 Hallway,0,0,Snyder Hall
Snyder 107 BET,1,2,Snyder Hall
Emergency Call Box Snyder,0,9,Snyder Hall
Noelani A 107T,4,8,Noelani
HIG 314A,0,0,HIG
HIG 213,0,0,HIG
Kuykendall 101 DH,0,1,Kuykendall
Kuykendall 310 Hallway,0,0,Kuykendall
Kuykendall 307 Hallway,0,0,Kuykendall
HIG 412,2,3,HIG
HIG 410A,0,0,HIG
HIG 135,0,8,HIG
HIG 305,1,8,HIG
HIG 211,0,5,HIG
HIG 413,4,4,HIG
HIG 432,3,6,HIG
HIG 232,1,9,HIG
Kuykendall 210 Hallway,1,4,Kuykendall
HIG 214,1,1,HIG
Kuykendall 415 Hallway,0,1,Kuykendall
HIG 336,3,4,HIG
Kuykendall 412 Hallway,2,2,Kuykendall
HIG 131C,2,7,HIG
HIG 210,0,4,HIG
Kuykendall 213,1,12,Kuykendall
Kuykendall 201A,3,5,Kuykendall
HIG 205,0,1,HIG
HIG P3,1,1,HIG
Kuykendall 521 Hallway,0,0,Kuykendall
Kuykendall 101 Ewa Mauka,0,0,Kuykendall
HIG 222,0,6,HIG
HIG 406,0,1,HIG
HIG 238,1,5,HIG
Kuykendall 316 Hallway,0,0,Kuykendall
Kuykendall 409 Hallway,2,5,Kuykendall
HIG 409D,2,2,HIG
HIG 411,3,4,HIG
HIG 107,1,17,HIG
HIG 105,0,2,HIG
HIG 418,2,2,HIG
Kuykendall 323 Hallway,1,1,Kuykendall
HIG 152 Ewa,2,2,HIG
HIG B005,0,1,HIG
HIG 215,0,0,HIG
HIG 110 Makai Ewa,1,1,HIG
HIG 206,1,4,HIG
HIG 416B,1,1,HIG
Kuykendall 225 Hallway,2,5,Kuykendall
HIG 409,0,0,HIG
HIG 115,2,12,HIG
HIG P5,2,2,HIG
Kuykendall 204,0,1,Kuykendall
HIG 404,0,1,HIG
Kuykendall 325 Hallway,1,1,Kuykendall
HIG 231,0,0,HIG
HIG 421,1,5,HIG
Kuykendall 207 Hallway,1,21,Kuykendall
HIG 133,1,33,HIG
Kuykendall 309 Hallway,0,0,Kuykendall
Kuykendall 402 Hallway,4,4,Kuykendall
HIG 417 Makai,0,0,HIG
HIG 415A,0,0,HIG
HIG 152 DH,1,3,HIG
HIG 153A,1,6,HIG
HIG 153,1,2,HIG
HIG 407A,1,2,HIG
HIG 437,2,2,HIG
HIG 208,0,0,HIG
HIG 435,3,4,HIG
HIG 217,1,4,HIG
Kuykendall 721 Hallway,0,0,Kuykendall
Holmes 356,2,3,Holmes Hall
Kuykendall BET Outdoor,6,75,Kuykendall
Kuykendall 411 Hallway,1,1,Kuykendall
Kuykendall 419 Hallway,0,2,Kuykendall
Holmes 452,4,7,Holmes Hall
Kuykendall 417 Hallway,2,4,Kuykendall
Holmes 448,5,5,Holmes Hall
Holmes 390,5,7,Holmes Hall
Holmes 357,1,5,Holmes Hall
Kuykendall 716 Hallway,1,1,Kuykendall
Holmes 347,2,3,Holmes Hall
Holmes 142 Makai,1,2,Holmes Hall
Holmes 287,1,2,Holmes Hall
Kuykendall 426 Hallway,2,3,Kuykendall
Kuykendall 206 Temp,6,23,Kuykendall
Kuykendall 313,2,31,Kuykendall
Kuykendall 318 Hallway,1,1,Kuykendall
Holmes 352 Hallway,5,9,Holmes Hall
Holmes 310B,2,3,Holmes Hall
Kuykendall 106A,3,29,Kuykendall
Kuykendall 307 DH,2,18,Kuykendall
Holmes 240C,4,7,Holmes Hall
Holmes 447 Hallway,2,2,Holmes Hall
Kuykendall 514 Hallway,0,0,Kuykendall
Holmes 310,2,2,Holmes Hall
Holmes 385 DH,3,17,Holmes Hall
Kuykendall 107 Hallway,4,14,Kuykendall
Kuykendall 616 Hallway,0,1,Kuykendall
Holmes 142B,5,5,Holmes Hall
Holmes 142 Mauka,1,2,Holmes Hall
Holmes 336 Hallway,1,4,Holmes Hall
Kuykendall 304,0,3,Kuykendall
Holmes 348D,1,4,Holmes Hall
Kuykendall 523 Hallway,0,0,Kuykendall
Holmes 306,0,0,Holmes Hall
Kuykendall 209 DH,1,22,Kuykendall
Holmes 308,1,1,Holmes Hall
